,Имя,Число генов,Число геномов,Число генов с Z-DNA в промотере,Максимальный Z-Score,Средний Z-Score
379,16S rRNA (uracil(1498)-N(3))-methyltransferase,47,50,27,65884.11,6981.645870370371
380,molecular chaperone DnaJ,45,50,28,28780.5,5391.530303571429
381,DNA polymerase III subunit delta,46,50,36,5485.32,1565.740877777778
382,leucine--tRNA ligase,45,50,30,29467.88,3361.8412733333344
383,thiol reductant ABC exporter subunit CydD,28,50,20,29467.88,4791.638295
384,cytochrome d ubiquinol oxidase subunit II,39,50,10,13713.99,2527.90199
385,cytochrome ubiquinol oxidase subunit I,37,50,11,66470.78,9596.759100000001
386,FUSC family protein,31,50,21,211093.9,23558.059485714282
387,YceI family protein,44,50,15,8485.756,1761.95028
388,Mur ligase family protein,28,50,22,28780.5,3117.463313636363
389,ribosome maturation factor RimM,47,50,27,65884.11,8214.707311111111
390,RNA-binding protein,40,50,19,65884.11,12268.150568421052
391,30S ribosomal protein S16,47,50,32,38833.58,3777.434240625
392,signal recognition particle protein,46,50,27,13713.99,2413.1114296296296
393,signal recognition particle-docking protein FtsY,47,50,22,8485.756,1448.499459090909
394,branched-chain amino acid ABC transporter permease,38,50,15,6565.992,2626.1189133333332
395,ABC transporter ATP-binding protein,48,50,22,4545.701,1699.4363136363638
396,amino acid ABC transporter permease,42,50,17,138924.1,14212.058099999998
397,glutamate ABC transporter substrate-binding protein,45,50,25,138924.1,13431.413424
398,chromosome segregation protein SMC,43,50,25,18180.95,2391.681948
399,isocitrate lyase,32,50,18,28780.5,4166.350955555556
400,molybdopterin-dependent oxidoreductase,43,50,29,138924.1,8297.927693103447
401,bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase,47,50,39,38833.58,3683.0914692307697
402,DUF177 domain-containing protein,46,50,28,65884.11,6070.4117000000015
403,pantetheine-phosphate adenylyltransferase,47,50,32,138924.1,14761.811965625002
404,sensor histidine kinase,36,50,26,38833.58,5383.0552192307705
405,ABC transporter ATP-binding protein,37,50,13,8922.646,2408.0350153846152
406,ATP-dependent DNA helicase RecG,47,50,29,38833.58,4766.911079310345
407,NAD-dependent succinate-semialdehyde dehydrogenase,61,50,24,28780.5,5316.0033791666665
408,4-aminobutyrate--2-oxoglutarate transaminase,38,50,21,3428.529,1217.5144095238097
409,thiamine-phosphate kinase,47,50,29,27872.66,3352.0332724137943
410,D-alanine--D-alanine ligase,46,50,31,48804.94,3561.792841935484
411,3-isopropylmalate dehydratase small subunit,46,50,23,9721.919,2850.619708695652
412,CBS domain-containing protein,43,50,27,28780.5,6092.10254074074
413,RdgB/HAM1 family non-canonical purine NTP pyrophosphatase,47,50,21,13713.99,2274.5560857142855
414,ribonuclease PH,47,50,29,28780.5,3417.368227586209
415,glutamate racemase,46,50,33,138924.1,11640.794530303028
416,signal peptidase I,49,50,27,38833.58,5924.896155555556
417,50S ribosomal protein L19,45,50,24,27872.66,3780.1511958333335
418,DsbA family protein,40,50,13,198956.2,47263.47612307693
419,peptide deformylase,41,50,21,28780.5,3807.5653190476187
420,metallopeptidase family protein,48,50,28,38833.58,4311.613614285715
421,ATP-dependent Clp protease adapter ClpS,47,50,22,28780.5,3840.728140909091
422,DNA polymerase IV,43,50,20,16739.64,3277.2604650000003
423,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,47,50,19,29467.88,5339.734531578948
424,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA,47,50,24,94590.41,5886.0258208333335
425,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC,45,50,25,38833.58,5380.724568
426,tRNA 2-thiouridine(34) synthase MnmA,46,50,39,138924.1,12228.597466666666
427,ribonuclease HI,35,50,19,16770.32,3908.8769631578953
428,UMP kinase,47,50,23,28780.5,7219.622604347825
429,translation elongation factor Ts,47,50,15,2492.419,1301.04278
430,30S ribosomal protein S2,45,50,33,38833.58,5426.311678787882
431,DNA-processing protein DprA,48,50,28,28780.5,4620.7345107142855
432,heavy metal translocating P-type ATPase,51,50,36,13713.99,2496.485947222222
433,DUF305 domain-containing protein,37,50,18,4576.539,1394.978011111111
434,YraN family protein,46,50,30,66470.78,4533.8950233333335
435,error-prone DNA polymerase,40,50,24,211093.9,15547.843104166668
436,DUF3039 domain-containing protein,44,50,14,66470.78,6370.2775999999985
437,UPF0182 family protein,49,50,23,21732.38,3912.2234782608693
438,PDZ domain-containing protein,46,50,20,68804.91,11408.48259
439,ATP-dependent DNA helicase UvrD2,47,50,28,28780.5,5264.452135714285
440,NAD(+) diphosphatase,45,50,30,74987.35,4618.604893333335
441,ATP-dependent helicase,45,50,30,302785.5,12784.574953333333
442,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,46,50,28,8485.756,2040.7645892857142
443,ferritin-like fold-containing protein,42,50,32,38833.58,5534.3847406250015
444,PHP domain-containing protein,33,50,24,29467.88,4974.813479166668
445,aminopeptidase P family protein,66,50,36,138924.1,7370.703463888892
446,YchJ family protein,45,50,33,13713.99,2780.1678636363636
447,DHA2 family efflux MFS transporter permease subunit,29,50,20,48804.94,4923.950855000001
448,VOC family protein,33,50,20,3858.662,1218.9525600000002
449,DUF3097 domain-containing protein,46,50,34,302785.5,12351.429641176466
450,sigma-70 family RNA polymerase sigma factor,46,50,19,28780.5,4808.929873684211
451,argininosuccinate synthase,47,50,22,16271.57,2466.733009090909
452,aldo/keto reductase,52,50,25,13713.99,2295.8695480000006
453,ATP-dependent RNA helicase HrpA,45,50,29,38833.58,7229.861727586206
454,DUF1003 domain-containing protein,45,50,27,198956.2,8678.723285185182
455,O-methyltransferase,47,50,37,302785.5,33553.70190540539
456,succinyl-diaminopimelate desuccinylase,41,50,24,37878.25,3946.5066291666662
457,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",46,50,26,13713.99,3164.5726423076926
458,citrate synthase,44,50,17,5351.021,1601.8371470588236
459,ferredoxin family protein,50,50,33,138924.1,15027.596057575753
460,N-acetyl-gamma-glutamyl-phosphate reductase,46,50,24,65884.11,7475.225908333335
461,3-hydroxyisobutyrate dehydrogenase,29,50,15,2962.843,1580.6966666666667
462,acyl-CoA dehydrogenase family protein,28,50,13,2962.843,1704.479646153846
463,methylisocitrate lyase,29,50,12,3428.529,1387.1428000000003
464,SDR family oxidoreductase,33,50,14,6565.992,1912.9014000000002
465,50S ribosomal protein L35,42,50,23,16770.32,5107.923673913044
466,bifunctional 1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase/phosphoribosylanthranilate isomerase PriA,47,50,27,138924.1,8282.041266666669
467,imidazole glycerol phosphate synthase subunit HisH,47,50,43,138924.1,17101.786548837208
468,imidazoleglycerol-phosphate dehydratase HisB,47,50,33,7211.263,2247.7800272727272
469,transcriptional repressor LexA,45,50,19,27872.66,3819.0840052631584
470,lipoyl synthase,44,50,23,65884.11,9753.145747826087
471,methylenetetrahydrofolate reductase,34,50,19,27872.66,3772.054805263158
472,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase,26,50,15,3700.972,1417.4898866666667
473,tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA,47,50,25,68804.91,5674.0457559999995
474,recombination regulator RecX,47,50,27,13713.99,2753.7462333333337
475,recombinase RecA,45,50,24,17253.57,2751.406308333333
476,CinA family protein,38,50,30,13713.99,3109.868243333334
477,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,47,50,26,13713.99,2643.8344230769235
478,DNA translocase FtsK,39,50,31,13713.99,4156.266948387098
479,ribonuclease J,47,50,25,13713.99,2588.078012000001
480,4-hydroxy-tetrahydrodipicolinate synthase,48,50,25,28780.5,3323.19264
481,dihydrofolate reductase,37,50,17,13713.99,2931.4401411764716
482,thymidylate synthase,38,50,23,10272.33,2341.30775652174
483,hypothetical protein,35,50,23,211093.9,26746.417521739135
484,4-hydroxy-tetrahydrodipicolinate reductase,45,50,25,65884.11,4876.953275999999
485,polyribonucleotide nucleotidyltransferase,47,50,25,16271.57,2533.9399320000007
486,phosphoglycerate dehydrogenase,39,50,17,12723.6,2935.3206882352947
487,ketol-acid reductoisomerase,46,50,35,65884.11,11342.899642857148
488,acetolactate synthase small subunit,45,50,25,13713.99,3196.7300400000013
489,acetolactate synthase large subunit,46,50,32,38833.58,5408.622606250001
490,type I glyceraldehyde-3-phosphate dehydrogenase,46,50,34,37878.25,5147.968188235295
491,helix-turn-helix domain-containing protein,47,50,23,8485.756,2096.897339130435
492,alpha-hydroxy-acid oxidizing protein,31,50,15,138924.1,11888.927539999999
493,SsrA-binding protein SmpB,45,50,26,198956.2,10267.050884615386
494,cell division ATP-binding protein FtsE,43,50,27,138924.1,9326.218466666664
495,peptide chain release factor 2,47,50,27,38833.58,3253.5914074074076
496,PLP-dependent aminotransferase family protein,29,50,13,13713.99,3307.085623076923
497,ammonium transporter,45,50,18,65884.11,10876.911605555555
498,inositol monophosphatase,44,50,30,38833.58,4689.052610000001
499,formate dehydrogenase accessory sulfurtransferase FdhD,43,50,25,74987.35,8737.405635999998
500,FdhF/YdeP family oxidoreductase,34,50,15,13713.99,3372.3345199999994
501,molybdate ABC transporter substrate-binding protein,47,50,21,28780.5,4240.396461904763
502,ABC transporter permease,36,50,22,74987.35,12729.131745454546
503,"GTP 3',8-cyclase MoaA",48,50,30,38833.58,4067.857353333334
504,ThiF family adenylyltransferase,52,50,33,38833.58,4715.520099999999
505,MoaD/ThiS family protein,42,50,29,302785.5,25276.286144827583
506,NCS2 family permease,46,50,24,138924.1,8778.168858333333
507,FKBP-type peptidyl-prolyl cis-trans isomerase,47,50,17,4615.4,1228.8969705882355
508,zinc metalloprotease HtpX,38,50,19,48804.94,8114.300289473682
509,FAD-binding protein,30,50,20,28780.5,3176.25979
510,NAD(P)/FAD-dependent oxidoreductase,57,50,27,13713.99,2555.1261296296293
511,DUF501 domain-containing protein,47,50,31,198956.2,10384.375893548387
512,phosphopyruvate hydratase,46,50,35,13713.99,3058.2291542857147
513,VOC family protein,34,50,18,138924.1,10523.702305555555
514,GntR family transcriptional regulator,35,50,22,28780.5,3785.687636363637
515,cation acetate symporter,43,50,17,13713.99,1979.1625117647059
516,DUF485 domain-containing protein,43,50,24,211093.9,12423.125775
517,MazG family protein,37,50,24,13713.99,2345.7720375
518,transcription-repair coupling factor,46,50,23,138924.1,13472.535899999999
519,50S ribosomal protein L25/general stress protein Ctc,47,50,34,13713.99,2131.2269941176473
520,NAD-dependent succinate-semialdehyde dehydrogenase,44,50,19,38833.58,3995.834589473685
521,hypothetical protein,48,50,23,48804.94,4629.850347826087
522,NAD(P)H-dependent oxidoreductase,34,50,16,13939.35,3605.7639750000003
523,2-keto-4-pentenoate hydratase,32,50,16,50885.97,5862.4145125000005
524,5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase,39,50,11,48804.94,5836.267190909091
525,ACR3 family arsenite efflux transporter,42,50,15,8485.756,2636.1242666666662
526,arsenate reductase ArsC,37,50,25,211093.9,26147.997632000013
527,metalloregulator ArsR/SmtB family transcription factor,55,50,28,3428.529,1221.0405214285715
528,amino acid permease,35,50,12,28780.5,5140.772341666667
529,uracil-DNA glycosylase,47,50,31,13939.35,2694.8179548387106
530,bifunctional o-acetylhomoserine/o-acetylserine sulfhydrylase,46,50,41,302785.5,18656.981031707317
531,hemolysin family protein,47,50,31,211093.9,8224.260158064511
532,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU,46,50,25,37878.25,3885.2436119999993
533,MarR family transcriptional regulator,43,50,24,12351.13,1948.702416666667
534,ABC-F family ATP-binding cassette domain-containing protein,47,50,29,50885.97,4679.9253344827575
535,DsbA family oxidoreductase,35,50,19,4325.003,1492.7738684210524
536,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,46,50,37,74987.35,8431.13694054054
537,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA,47,50,34,66470.78,3549.298750000001
538,TatD family hydrolase,46,50,37,198956.2,10180.111527027027
539,methionine--tRNA ligase,47,50,29,27872.66,3609.9787275862077
540,peroxide stress protein YaaA,45,50,29,37878.25,4845.230803448276
541,F0F1 ATP synthase subunit gamma,47,50,17,17253.57,5434.844076470588
542,F0F1 ATP synthase subunit alpha,47,50,16,28780.5,3387.4979062499997
543,F0F1 ATP synthase subunit delta,47,50,28,13713.99,2860.542917857144
544,F0F1 ATP synthase subunit B,47,50,11,8922.646,2200.829345454546
545,ATP synthase F0 subunit C,33,50,4,2752.447,1385.61085
546,threonylcarbamoyl-AMP synthase,44,50,30,68804.91,4846.385636666667
547,peptide chain release factor N(5)-glutamine methyltransferase,45,50,33,302785.5,11952.171833333332
548,MFS transporter,33,50,18,21732.38,4920.596244444445
549,transcription termination factor Rho,47,50,26,28780.5,2813.308746153846
550,M20/M25/M40 family metallo-hydrolase,39,50,19,38833.58,7833.113531578946
551,TerC family protein,59,50,50,48804.94,5387.36098
552,tRNA (guanosine(46)-N7)-methyltransferase TrmB,41,50,28,9852.15,2549.172260714286
553,type II 3-dehydroquinate dehydratase,43,50,19,4553.39,1965.0034842105267
554,excinuclease ABC subunit UvrA,39,50,37,38833.58,6020.22313243243
555,ATP-binding cassette domain-containing protein,47,50,12,38833.58,7110.372750000001
556,1-deoxy-D-xylulose-5-phosphate reductoisomerase,44,50,20,138924.1,9822.988229999997
557,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,45,50,29,18180.95,3236.5595896551727
558,MFS transporter,27,50,19,13713.99,2051.1530736842105
559,SUF system NifU family Fe-S cluster assembly protein,47,50,33,138924.1,6923.345954545455
560,L-aspartate oxidase,36,50,28,138924.1,10564.481267857142
561,YibE/F family protein,33,50,19,28780.5,3349.0462526315787
562,translational GTPase TypA,47,50,37,28780.5,4067.4551351351365
563,ABC transporter ATP-binding protein,50,50,29,4553.39,1698.4081551724134
564,ABC transporter permease,34,50,14,2779.551,1161.5463428571431
565,class II fructose-bisphosphatase,40,50,23,13939.35,3082.560247826087
566,class II fructose-bisphosphate aldolase,49,50,22,29467.88,2340.7713454545446
567,exodeoxyribonuclease VII large subunit,45,50,29,28780.5,4681.263982758622
568,exodeoxyribonuclease VII small subunit,47,50,30,28780.5,4003.6551200000004
569,carbonic anhydrase,42,50,11,13713.99,3074.878972727273
570,ABC transporter ATP-binding protein,32,50,12,211093.9,18928.989166666663
571,acyl-CoA dehydrogenase family protein,46,50,28,28780.5,4696.971432142857
572,amino-acid N-acetyltransferase,36,50,29,94590.41,9444.30387586207
573,ATP-dependent Clp protease ATP-binding subunit,47,50,26,13713.99,4610.684592307693
574,lysine--tRNA ligase,45,50,27,28780.5,4893.577229629631
575,dihydroneopterin aldolase,32,50,26,50885.97,8196.177457692309
576,hypoxanthine phosphoribosyltransferase,47,50,25,28780.5,4237.980256
577,tRNA lysidine(34) synthetase TilS,44,50,34,13713.99,3291.455185294118
578,inorganic diphosphatase,47,50,24,13713.99,1591.4691208333334
579,leucyl aminopeptidase,46,50,28,27872.66,3999.2945464285726
580,LLM class flavin-dependent oxidoreductase,31,50,17,66470.78,9297.845294117647
581,MGMT family protein,39,50,27,49376.54,7610.2857296296315
582,LysR substrate-binding domain-containing protein,37,50,25,17253.57,3522.7523960000008
583,acyl-CoA dehydrogenase family protein,40,50,22,38833.58,5555.0770454545445
584,DUF445 domain-containing protein,40,50,26,27872.66,3345.10955
585,phosphoglyceromutase,46,50,16,13713.99,3209.8332812499993
586,folate-binding protein YgfZ,47,50,28,13713.99,2656.199657142857
587,response regulator transcription factor,38,50,24,28780.5,2915.6642124999985
588,mycothiol synthase,38,50,22,138924.1,10631.508204545455
589,RNA degradosome polyphosphate kinase,43,50,25,38833.58,5121.870660000001
590,NUDIX hydrolase,46,50,28,8323.257,2067.828253571429
591,phosphate ABC transporter substrate-binding protein PstS,43,50,20,10894.72,2059.0689
592,GNAT family N-acetyltransferase,46,50,30,16770.32,3846.2743800000007
593,FmdB family transcriptional regulator,26,50,18,6565.992,2107.8122944444444
594,nitrate reductase,46,50,18,138924.1,10718.963377777776
595,FAD-binding oxidoreductase,28,50,14,13713.99,2800.587521428571
596,electron transfer flavoprotein subunit beta/FixA family protein,48,50,18,13713.99,3623.1497333333327
597,metal-dependent transcriptional regulator,47,50,42,138924.1,18991.557738095245
598,cold shock domain-containing protein,43,50,24,29467.88,3698.9971083333335
599,DEAD/DEAH box helicase,46,50,36,38833.58,3841.128219444444
600,response regulator transcription factor,77,50,39,198956.2,10584.900661538462
601,chaperonin GroEL,46,50,21,138924.1,9003.290861904763
602,peptide-methionine (R)-S-oxide reductase MsrB,47,50,27,138924.1,8289.634066666662
603,thioredoxin domain-containing protein,46,50,37,27872.66,3314.5875297297293
604,preprotein translocase subunit SecA,45,50,21,12351.13,1919.0290095238092
605,polyprenol monophosphomannose synthase,50,50,27,211093.9,10329.654625925925
606,ribosome-associated translation inhibitor RaiA,47,50,18,66470.78,10273.867716666668
607,MtrAB system histidine kinase MtrB,47,50,32,29467.88,4789.675078124999
608,MtrAB system response regulator MtrA,46,50,28,28780.5,5202.071464285713
609,"mannose-6-phosphate isomerase, class I",43,50,23,9721.919,2605.9476260869556
610,glycosyltransferase,31,50,22,18247.98,2938.8414
611,UDP-galactopyranose mutase,36,50,21,13713.99,3409.0796571428564
612,glucose-1-phosphate thymidylyltransferase RfbA,43,50,26,302785.5,16151.066538461531
613,glycosyltransferase family 2 protein,47,50,29,13713.99,3085.2240517241376
614,UDP-glucose 4-epimerase GalE,46,50,33,10894.72,3574.361466666667
615,5-(carboxyamino)imidazole ribonucleotide mutase,47,50,34,302785.5,11411.049538235295
616,50S ribosomal protein L1,45,50,16,2962.843,1145.89291875
617,transcription termination/antitermination protein NusG,47,50,11,13713.99,2357.8237636363638
618,LLM class flavin-dependent oxidoreductase,42,50,18,198956.2,23947.77023333333
619,aspartate aminotransferase family protein,36,50,22,66470.78,7457.958472727274
620,ABC transporter permease,30,50,20,29467.88,3566.883675000001
621,ABC transporter ATP-binding protein,29,50,16,10616.46,2911.4040249999994
622,TRAM domain-containing protein,47,50,31,48804.94,4630.94945483871
623,purine-nucleoside phosphorylase,41,50,25,6565.992,1764.374548
624,FAD-binding oxidoreductase,28,50,17,9852.15,2416.8571882352944
625,DUF58 domain-containing protein,34,50,24,302785.5,15431.70170416667
626,FAD-dependent oxidoreductase,40,50,18,28780.5,3359.9800111111117
627,succinate dehydrogenase iron-sulfur subunit,38,50,12,4270.735,1420.6587500000003
628,succinate dehydrogenase flavoprotein subunit,42,50,37,66470.78,7174.861178378381
629,succinate dehydrogenase hydrophobic membrane anchor subunit,35,50,25,17253.57,3489.79418
630,exodeoxyribonuclease III,47,50,32,12351.13,2767.25919375
631,exodeoxyribonuclease III,42,50,22,18247.98,2095.4606954545457
632,tryptophan--tRNA ligase,52,50,30,10894.72,2438.2392099999997
633,riboflavin synthase,45,50,23,38833.58,3404.8649565217393
634,"bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II",48,50,27,49376.54,4014.972737037039
635,"6,7-dimethyl-8-ribityllumazine synthase",46,50,21,6565.992,1972.6271619047625
636,YigZ family protein,32,50,19,13713.99,4061.330084210527
637,chorismate mutase,29,50,21,9852.15,2090.1986952380953
638,adenylosuccinate synthase,45,50,18,29467.88,2824.6199944444443
639,DUF3151 domain-containing protein,39,50,14,21732.38,3033.152071428572
640,YajQ family cyclic di-GMP-binding protein,42,50,12,24647.41,3776.633075000001
641,YciI family protein,29,50,8,1280.855,886.502975
642,ABC transporter ATP-binding protein,27,50,14,65884.11,13265.489199999998
643,ABC transporter ATP-binding protein,34,50,18,65884.11,7721.887855555558
644,ABC transporter ATP-binding protein,25,50,15,13939.35,4074.01446
645,iron-siderophore ABC transporter substrate-binding protein,32,50,14,65884.11,5954.917107142857
646,iron chelate uptake ABC transporter family permease subunit,44,50,31,211093.9,8672.986899999996
647,siderophore-interacting protein,37,50,21,13713.99,2326.530295238095
648,LysE/ArgO family amino acid transporter,44,50,24,13713.99,1587.1186625
649,LysR family transcriptional regulator ArgP,38,50,19,28780.5,4221.501657894737
650,glycine--tRNA ligase,46,50,17,38833.58,6906.530894117647
651,YbhB/YbcL family Raf kinase inhibitor-like protein,44,50,17,9492.083,2725.9545058823533
652,metal-sensitive transcriptional regulator,42,50,27,48804.94,7117.206237037038
653,MerR family transcriptional regulator,38,50,24,18247.98,2747.4374458333336
654,rhodanese-related sulfurtransferase,28,50,16,28780.5,4269.88453125
655,TetR/AcrR family transcriptional regulator,30,50,17,13713.99,2475.2818882352944
656,peptidase M13,47,50,23,13713.99,2642.716217391305
657,carbon starvation protein A,31,50,15,29467.88,4255.526800000001
658,MATE family efflux transporter,44,50,20,13713.99,2661.9874600000007
659,endonuclease NucS,47,50,31,66470.78,5280.075403225806
660,TetR family transcriptional regulator,35,50,16,13713.99,2489.80384375
661,biotin-dependent carboxyltransferase family protein,44,50,22,138924.1,10688.463204545456
662,allophanate hydrolase subunit 1,32,50,22,38833.58,4862.730877272727
663,MFS transporter,45,50,30,3661.11,1575.4550300000003
664,ABC transporter substrate-binding protein,30,50,17,8922.646,1816.1860176470595
665,response regulator transcription factor,45,50,36,74987.35,7778.464811111112
666,aldo/keto reductase,27,50,13,16770.32,2494.656861538462
667,ROK family protein,44,50,28,38833.58,6441.631778571429
668,ROK family transcriptional regulator,34,50,25,211093.9,32094.406632000002
669,NAD(P)-dependent oxidoreductase,29,50,14,29467.88,3798.652107142857
670,ABC transporter ATP-binding protein,51,50,32,28780.5,2735.561293750002
671,hydroxymethylbilane synthase,42,50,26,38833.58,4125.389880769231
672,ABC transporter ATP-binding protein/permease,39,50,27,9492.083,1965.264111111111
673,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase,48,50,34,211093.9,10604.43168529412
674,nucleoside deaminase,47,50,31,138924.1,8662.841974193545
675,cytochrome c biogenesis protein CcdA,51,50,34,17253.57,2842.3769705882355
676,ABC transporter permease,30,50,17,3428.529,1613.7688941176475
677,MaoC family dehydratase N-terminal domain-containing protein,47,50,29,66470.78,6514.888051724138
678,UDP-N-acetylmuramate dehydrogenase,47,50,29,198956.2,18741.104979310352
679,c-type cytochrome biogenesis protein CcsB,48,50,25,138924.1,7215.9043679999995
680,phosphoribosylformylglycinamidine synthase subunit PurS,45,50,21,3993.322,1403.4182000000003
681,phosphoribosylaminoimidazolesuccinocarboxamide synthase,42,50,21,37878.25,3743.2308380952377
682,mycoredoxin,41,50,17,16271.57,2064.5099117647055
683,inorganic phosphate transporter,45,50,15,74987.35,11503.292706666665
684,CTP synthase,41,50,21,38833.58,4872.1055428571435
685,SDR family oxidoreductase,43,50,22,13713.99,2783.2885818181817
686,3-deoxy-7-phosphoheptulonate synthase class II,47,50,26,28780.5,6050.058161538462
687,nicotinate-nucleotide adenylyltransferase,47,50,26,66470.78,8283.28898846154
688,ribosome silencing factor,46,50,23,38833.58,7518.962869565216
689,tRNA (adenine-N1)-methyltransferase,47,50,24,8485.756,2419.7606874999997
690,histidinol dehydrogenase,46,50,30,28780.5,4095.5630833333344
691,heme-copper oxidase subunit III,45,50,26,66470.78,6174.3376153846175
692,deoxyguanosinetriphosphate triphosphohydrolase,46,50,34,302785.5,12325.534558823525
693,HIT domain-containing protein,46,50,21,50885.97,5700.000423809524
694,ribonuclease III,47,50,24,138924.1,8622.683558333336
695,Fpg/Nei family DNA glycosylase,42,50,27,13713.99,1842.2069296296297
696,ribosome recycling factor,46,50,26,13713.99,2440.8364615384617
697,phenylalanine--tRNA ligase subunit alpha,47,50,27,211093.9,13043.942637037044
698,translation initiation factor IF-3,41,50,25,27872.66,3260.588064000002
699,DUF1844 domain-containing protein,35,50,22,38833.58,3083.060890909092
700,DUF3046 domain-containing protein,45,50,36,38833.58,3556.4936083333337
701,histidinol-phosphatase,45,50,23,13713.99,3336.5896130434785
702,MFS transporter,33,50,20,13713.99,2332.8510200000005
703,SDR family oxidoreductase,47,50,35,38833.58,3563.9454114285727
704,M18 family aminopeptidase,33,50,17,16271.57,4169.388905882352
705,MarR family transcriptional regulator,30,50,14,9852.15,1708.3434214285714
706,phosphate ABC transporter ATP-binding protein PstB,46,50,20,13713.99,3329.8157650000003
707,WhiB family transcriptional regulator,45,50,33,48804.94,5822.2366666666685
708,thymidine phosphorylase,39,50,25,12723.6,3921.436072000001
709,DMT family transporter,32,50,23,27872.66,2944.6419173913037
710,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,46,50,22,28780.5,4554.7166499999985
711,nicotinate phosphoribosyltransferase,44,50,25,28780.5,4025.5995160000007
712,metal-dependent transcriptional regulator,43,50,26,27872.66,3320.0418038461535
713,MFS transporter,36,50,20,13713.99,1895.289195
714,aspartate ammonia-lyase,28,50,18,13713.99,3291.2401833333333
715,MBL fold metallo-hydrolase,38,50,10,8485.756,2624.01421
716,GNAT family N-acetyltransferase,37,50,18,38833.58,5780.396761111111
717,protein phosphatase 2C domain-containing protein,46,50,30,37878.25,3001.422486666667
718,catalase/peroxidase HPI,34,50,13,8323.257,2196.2710461538463
719,transcriptional repressor,50,50,33,65884.11,3356.7247818181822
720,sigma-70 family RNA polymerase sigma factor,32,50,16,17253.57,2418.4108625000003
721,isochorismate synthase,52,50,32,13713.99,2046.350325
722,histidine phosphatase family protein,48,50,32,302785.5,12501.830390624997
723,phosphoribosylformylglycinamidine synthase subunit PurL,45,50,25,13713.99,2314.929144
724,6-phosphofructokinase,42,50,25,28780.5,2834.7964239999997
725,mycothiol conjugate amidase Mca,39,50,27,21732.38,6272.897062962961
726,type I pantothenate kinase,47,50,33,211093.9,11616.713215151512
727,GNAT family N-acetyltransferase,41,50,21,9852.15,2689.309523809524
728,tRNA guanosine(34) transglycosylase Tgt,30,50,12,13713.99,2720.4334666666664
729,GNAT family N-acetyltransferase,33,50,21,18180.95,3463.070014285715
730,cytochrome c oxidase subunit II,45,50,17,6565.992,2610.2311588235298
731,cytochrome c oxidase subunit I,62,50,24,65884.11,7125.229624999999
732,dUTP diphosphatase,44,50,32,50885.97,7430.355740625001
733,hypothetical protein,39,50,29,66470.78,10660.612413793104
734,PAC2 family protein,42,50,24,49376.54,3608.3878458333343
735,hotdog fold thioesterase,52,50,18,28780.5,3424.8572222222224
736,response regulator,30,50,22,38833.58,5615.7656954545455
737,triose-phosphate isomerase,47,50,11,38833.58,5700.325845454546
738,amino acid ABC transporter ATP-binding protein,45,50,17,2943.461,1130.9876352941178
739,trehalose-6-phosphate synthase,49,50,16,4263.555,1649.6891
740,shikimate kinase,46,50,29,12351.13,2520.261424137931
741,shikimate dehydrogenase,46,50,17,3333.338,1320.1931941176474
742,endolytic transglycosylase MltG,47,50,25,198956.2,13135.540712000004
743,hemolysin family protein,43,50,26,29467.88,2949.103876923078
744,branched-chain amino acid ABC transporter permease,26,50,14,2997.09,1441.507357142857
745,NAD(P)-dependent glycerol-3-phosphate dehydrogenase,47,50,30,13713.99,3279.870433333334
746,HNH endonuclease family protein,47,50,27,27872.66,3592.756377777779
747,ribonuclease HII,46,50,29,138924.1,16876.500372413793
748,mechanosensitive ion channel family protein,43,50,18,65884.11,11438.010849999999
749,oligoribonuclease,45,50,19,29467.88,3355.9480789473687
750,cysteine desulfurase,47,50,37,17718.99,3487.9898459459464
751,tetratricopeptide repeat protein,46,50,24,13713.99,1967.3931625000002
752,phosphatidate cytidylyltransferase,47,50,33,138924.1,9712.998503030307
753,DNA polymerase Y family protein,41,50,24,37878.25,4375.225025000001
754,trypsin-like peptidase domain-containing protein,42,50,16,13713.99,3065.020075
